id,relative_path,title,authors,publication_year,source_type,url,license,sha256,size_bytes,mime_type,local_copy,notes
SRC-USER-BRIEF,sources/User_Visual_Brief.md,Giza 2500 BCE visual brief,User,2026,other,,User-provided for this reconstruction,,,,true,Presentation request only; not archaeological evidence.
SRC-EGY-GIZA-PLATEAU,,Giza Plateau,Egyptian Ministry of Tourism and Antiquities,2019,web_reference,https://egymonuments.gov.eg/en/archaeological-sites/giza-plateau/,Website terms,,,,false,Official synthesis of the plateau and pyramid-complex components.
SRC-EGY-KHUFU,,The Great Pyramid,Egyptian Ministry of Tourism and Antiquities,2019,web_reference,https://egymonuments.gov.eg/en/monuments/the-great-pyramid/,Website terms,,,,false,Official monument synthesis for Khufu.
SRC-EGY-KHAFRE,,Pyramid Complex of Khafre (Khefren),Egyptian Ministry of Tourism and Antiquities,2019,web_reference,https://egymonuments.gov.eg/en/monuments/pyramid-complex-of-khafre-khefren,Website terms,,,,false,Official monument synthesis for Khafre.
SRC-EGY-MENKAURE,,Pyramid Complex of Menkaure,Egyptian Ministry of Tourism and Antiquities,2019,web_reference,https://egymonuments.gov.eg/en/monuments/pyramid-complex-of-menkaure/,Website terms,,,,false,Official monument synthesis including granite casing and incomplete finish.
SRC-EGY-SPHINX,,The Great Sphinx,Egyptian Ministry of Tourism and Antiquities,2019,web_reference,https://egymonuments.gov.eg/en/monuments/the-great-sphinx,Website terms,,,,false,Official synthesis of date and relationship to the Khafre complex.
SRC-HARVARD-COMPLEX,,Royal Pyramid Complexes,Harvard University Giza Project,,web_reference,https://giza.fas.harvard.edu/lessons/royal-pyramid-complexes/,Website terms,,,,false,Institutional synthesis of pyramid temples causeways valley temples and subsidiary pyramids.
SRC-HARVARD-PEOPLE,,People and Places of Giza,Harvard University Giza Project,,web_reference,https://giza.fas.harvard.edu/commontopics/,Website terms,,,,false,Institutional chronology and Great Sphinx dimensions.
SRC-HARVARD-FAQ,,Digital Giza FAQ,Harvard University Giza Project,,web_reference,https://giza.fas.harvard.edu/faq/,Website terms,,,,false,Institutional synthesis discussing covered pyramid causeways.
SRC-UCL-PYRAMID-OWNERS,,Pyramid Owners and Subsidiary Pyramids,University College London,2001,web_reference,https://www.ucl.ac.uk/museums-static/digitalegypt/pyramids/owners.html,Website terms,,,,false,Comparative table of royal queen and satellite pyramids.
SRC-PETRIE-GIZEH,,The Pyramids and Temples of Gizeh,W. M. Flinders Petrie,1883,excavation_report,https://giza.fas.harvard.edu/pubdocs/551/full/,Public domain,,,,false,Primary survey publication hosted by Digital Giza.
SRC-AERA-KHUFU-SURVEY,,The 2015 Great Pyramid Survey,Ancient Egypt Research Associates,2016,dataset,https://aeraweb.org/the-2015-great-pyramid-survey/,Website terms,,,,false,Modern reconstruction of Khufu casing baselines from surviving evidence.
SRC-DASH-GIZA-CENTERS,,Giza Pyramids Corners and Centers,Glen Dash Foundation,,dataset,https://www.dashfoundation.org/Surveys-at-Giza.htm,Copyrighted; illustration only,,,,false,Best-estimate survey polygons and centers derived largely from Petrie; factual values cited without redistributing the KMZ.
SRC-LEHNER-GPMP-2001,,The Archaeology of an Image: The Great Sphinx of Giza,Mark Lehner,2001,peer_reviewed_article,https://gizapyramids.org/static/pdf%20library/lehner_jarce_38_2001.pdf,Publisher terms,,,,false,Includes a reconstructed map of the Giza plateau complexes in Figure 1.
SRC-AERA-SPHINX,,Who Built the Sphinx?,Ancient Egypt Research Associates,,web_reference,https://aeraweb.org/projects/who-built-the-sphinx/,Website terms,,,,false,Field-project synthesis of the Sphinx mapping and Khafre attribution.
SRC-CEE-AHRAMAT-2024,,The Egyptian pyramid chain was built along the now abandoned Ahramat Nile Branch,Eman Ghoneim et al.,2024,peer_reviewed_article,https://www.nature.com/articles/s43247-024-01379-7,CC BY 4.0,,,,false,"Peer-reviewed remote-sensing, geomorphological, geophysical, and coring study that reconstructs the Ahramat Branch and Giza Inlet; it does not establish an exact 2500 BCE shoreline."
SRC-AERA-GIZA-BASIN-2014,,"Revealing the Past, Building Our Future: 2013–2014 Annual Report",Ancient Egypt Research Associates,2014,excavation_report,https://aeraweb.org/wp-content/uploads/2022/08/AERA_2014.pdf,Copyright Ancient Egypt Research Associates,,,,false,Primary field-report synthesis of the excavated basin beside Khentkawes Town and the inferred channel toward Menkaure Valley Temple.
SRC-PNAS-WATERSCAPES,,Nile waterscapes facilitated the construction of the Giza pyramids,Hader Sheisha et al.,2022,peer_reviewed_article,https://pmc.ncbi.nlm.nih.gov/articles/PMC9477388/,CC BY-NC-ND 4.0,,,,false,Peer-reviewed pollen-based palaeoecological reconstruction of the Khufu branch and Giza harbor complex; constrains relative water levels rather than an exact shoreline.
SRC-AERA-LOST-CITY,,The Lost City of the Pyramids,Ancient Egypt Research Associates,,web_reference,https://aeraweb.org/projects/lost-city/,Website terms,,,,false,Field-project synthesis of the Fourth Dynasty Heit el-Ghurab settlement south of the Sphinx.
SRC-AERA-WALL-CROW,,The Wall of the Crow,Ancient Egypt Research Associates,,web_reference,https://aeraweb.org/wall-of-the-crow/,Website terms,,,,false,Field-project synthesis of the massive unfinished masonry wall bordering Heit el-Ghurab.
SRC-HARVARD-EASTERN-PLAN,,Plan of Eastern Cemetery: W section area E of Khufu Pyramid,Harvard University Giza Project,,dataset,https://giza.fas.harvard.edu/mapsandplans/50905/full/,Website terms,,,,false,Institutional catalog plan documenting the eastern cemetery and royal-family mastaba arrangement beside Khufu.
SRC-HARVARD-WESTERN-G4000,,Cemetery G 4000,Harvard University Giza Project,,dataset,https://giza.fas.harvard.edu/sites/18/full/,Website terms,,,,false,Institutional catalog and plans for an early organized mastaba field in the Western Cemetery.
