id,source_id,subject,property,claim,value_text,value_number,unit,locator,quotation,evidence_basis,evidence_class,confidence,date_start,date_end,uncertainty,alternative_group,tags,review_status,created_by,model_used,response_id,source_sha256_at_creation
EVID-KHUFU-FORM,SRC-EGY-KHUFU,Pyramid of Khufu,height and casing,"The completed Great Pyramid stood about 146.5 metres high and was entirely cased in high-quality Tura limestone.",146.5 m high with Tura limestone casing,146.5,m,Main monument description,,textual,B,0.94,-2600,-2470,"Literal mirror reflectivity and perfectly flawless edges are illustrative rather than asserted by the source.",,Khufu;height;casing,needs_review,manual_seed,,,
EVID-KHUFU-BASE,SRC-AERA-KHUFU-SURVEY,Pyramid of Khufu,base width,"A modern reconstruction of the four original casing baselines gives a mean side of approximately 230.363 metres.",approximately 230.363 m,230.363,m,"2015 survey results and AERAGRAM 16.2 table",,visual,A,0.95,-2600,-2470,"No original corner survives and the reconstructed baselines extrapolate from partial surviving evidence.",,Khufu;dimensions;survey,needs_review,manual_seed,,,
EVID-KHAFRE-FORM,SRC-EGY-KHAFRE,Pyramid of Khafre,height and casing,"Khafre's pyramid originally stood about 143.5 metres high and was cased in polished high-quality Tura limestone.",143.5 m high with polished Tura limestone casing,143.5,m,Main monument description,,textual,B,0.94,-2580,-2470,"Exact construction and completion dates vary among modern chronologies.",,Khafre;height;casing,needs_review,manual_seed,,,
EVID-KHAFRE-BASE,SRC-DASH-GIZA-CENTERS,Pyramid of Khafre,base width,"The survey-derived guide represents Khafre's base at approximately 215.3 metres square.",approximately 215.3 m,215.3,m,Giza Pyramids Corners and Centers dataset,,visual,B,0.88,-2580,-2470,"Rounded from a copyrighted illustration dataset derived largely from Petrie; do not treat as a redistributed survey product.",,Khafre;dimensions;survey,needs_review,manual_seed,,,
EVID-MENKAURE-FORM,SRC-EGY-MENKAURE,Pyramid of Menkaure,height casing and completion,"Menkaure's pyramid stood about 65 metres high; its lower quarter used granite and the remainder limestone, and much of the granite was left unsmoothed when the king died.",65 m high; granite lower quarter; limestone above; incomplete finish,65,m,Main monument description,,textual,B,0.96,-2550,-2470,"This directly conflicts with the requested wholly white and perfectly finished casing.",MENKAURE-CASING-APPEARANCE,Menkaure;height;casing;conflict,needs_review,manual_seed,,,
EVID-MENKAURE-BASE,SRC-DASH-GIZA-CENTERS,Pyramid of Menkaure,base width,"The survey-derived guide represents Menkaure's base at approximately 105.55 metres square.",approximately 105.55 m,105.55,m,Giza Pyramids Corners and Centers dataset,,visual,B,0.84,-2550,-2470,"Rounded guide value; the historic monument has unequal sides and complex casing conditions.",,Menkaure;dimensions;survey,needs_review,manual_seed,,,
EVID-COMPLEX-LAYOUT,SRC-HARVARD-COMPLEX,Royal pyramid complexes,component relationships,"A royal pyramid complex joined the pyramid and adjacent pyramid temple to a more distant valley temple by a causeway, with subsidiary or queens' pyramids in some complexes.",pyramid temple causeway valley temple and subsidiary pyramids,,,Royal Pyramid Complexes lesson,,textual,B,0.90,-2650,-2400,"Individual complex plans and preservation differ; this does not fix exact local coordinates.",,complexes;temples;causeways,needs_review,manual_seed,,,
EVID-CAUSEWAY-COVERED,SRC-HARVARD-FAQ,Pyramid causeways,roofing and decoration,"Old Kingdom pyramid causeways could be roofed or enclosed and decorated, but exact surviving evidence differs by complex.",covered or enclosed causeways,,,Digital Giza FAQ discussion of causeways,,textual,B,0.74,-2650,-2400,"The request treats all three as long straight covered corridors; exact roof form and completion are interpretive.",,causeway;roofing;uncertainty,needs_review,manual_seed,,,
EVID-SUBSIDIARY-GROUPS,SRC-UCL-PYRAMID-OWNERS,Giza subsidiary pyramids,grouping,"The visual guide uses the documented grouping of three queens' pyramids and one satellite for Khufu, one satellite for Khafre, and three queens' pyramids for Menkaure.",Khufu 4; Khafre 1; Menkaure 3,,,Royal-pyramid comparison table,,comparative,B,0.80,-2600,-2470,"Exact dimensions and completion states of individual small pyramids are simplified in the guide.",,subsidiary;queens;satellite,needs_review,manual_seed,,,
EVID-PLATEAU-LAYOUT,SRC-LEHNER-GPMP-2001,Giza plateau,relative monument layout,"The three principal complexes descend southwestward from Khufu to Khafre to Menkaure, while their causeways run generally eastward toward valley complexes.",published plateau-plan relationships,,,Figure 1 reconstructed plateau map,,visual,C,0.68,-2600,-2470,"Local project coordinates are an approximate visual translation, not a georeferenced digitization.",,layout;placement;guide,needs_review,manual_seed,,,
EVID-PYRAMID-CENTERS,SRC-DASH-GIZA-CENTERS,Three main Giza pyramids,relative centers,"The survey dataset gives Khufu centre E 499999.990, N 100000.018, elevation 60.400 m; Khafre E 499666.012, N 99645.607, elevation 70.500 m; and Menkaure E 499426.477, N 99259.866, elevation 73.100 m. Transformed to project-local coordinates with Khufu at [0.000, 300.000, 0.000], the centres are Khafre [-333.978, -54.411, 10.100] and Menkaure [-573.513, -440.152, 12.700].","Khufu [0.000, 300.000, 0.000]; Khafre [-333.978, -54.411, 10.100]; Menkaure [-573.513, -440.152, 12.700]",,,Giza Pyramids Corners and Centers dataset,,visual,B,0.86,-2600,-2470,"The millimetre-formatted values preserve the dataset's stated numerical precision but do not imply millimetre archaeological certainty. The project subtracts the Khufu survey centre and elevation, then adds 300 metres to local Y; the copyrighted dataset is cited but not redistributed.",,layout;centers;survey,needs_review,manual_seed,,,
EVID-SPHINX-FORM,SRC-HARVARD-PEOPLE,Great Sphinx,form dimensions and attribution,"The Great Sphinx combines a human royal head wearing the nemes headdress with a recumbent lion body, measures approximately 73.5 metres long, 19 metres wide, and 20 metres high, and is generally attributed to Khafre's reign.",human head on lion body; 73.5 x 19 x 20 m,73.5,m,Sphinx and Great Sphinx section,,textual,B,0.88,-2580,-2470,"Khafre attribution is strong but not absolute. The overall measurements support a semantic guide envelope, not exact reconstructed anatomy, facial appearance, component ratios, or clearance at a chosen year.",,Sphinx;form;dimensions;attribution,needs_review,manual_seed,,,
EVID-SPHINX-RELATIONSHIP,SRC-EGY-SPHINX,Great Sphinx,complex relationship,"The Sphinx and its temple lie beside Khafre's valley temple and the lower part of his causeway.",beside Khafre valley temple and lower causeway,,,Main monument description,,textual,B,0.91,-2580,-2470,"The preview envelope is schematic and does not encode a stone-by-stone survey.",,Sphinx;Khafre;placement,needs_review,manual_seed,,,
EVID-SPHINX-ORIENTATION,SRC-AERA-SPHINX,Great Sphinx,orientation,"AERA's mapped north elevation states that the Great Sphinx faces east.",east-facing long axis,,,Figure 11 caption,,visual,B,0.98,-2580,-2470,"Due-east orientation is evidence-backed; the project's point centre and simplified component proportions remain implementation guides rather than a survey mesh.",,Sphinx;orientation;east,needs_review,manual_seed,,,
EVID-SPHINX-DITCH-TOPOLOGY,SRC-AERA-KHAFRE-UNIT,Sphinx complex,ditch causeway and temple topology,"The Sphinx stands in a quarried ditch whose south side forms the north side of Khafre's causeway foundation, while the Sphinx Temple and Khafre Valley Temple share the prepared terrace in front of it.",Sphinx ditch north of causeway; temples on eastern terrace,,,Sphinx quarry and temple terrace sections,,mixed,B,0.94,-2580,-2470,"The broad adjacency and separation are supported, but the local polygon, ditch depth, wall profile, construction debris, and exact clearance at approximately 2500 BCE remain needs-review implementation choices.",,Sphinx;ditch;causeway;temple;topology,needs_review,manual_seed,,,
EVID-GIZA-INLET-ALIGNMENT,SRC-CEE-AHRAMAT-2024,Giza lower complexes,river-inlet relationship,"Remote-sensing and topographic analysis reconstruct a lagoon-like Giza Inlet connected to the Ahramat Branch; the Khafre, Menkaure, and Khentkawes causeways lead to the inlet, while Khufu appears to connect more directly to the branch.",lagoon-like Giza Inlet adjoining lower complexes,,,"Results, ""The western tributaries of the Ahramat Branch""; Figure 7 and caption",,mixed,B,0.78,-2600,-2450,"The inlet footprint and contemporaneity are remotely reconstructed; Figure 7 does not establish an exact 2500 BCE shoreline, depth, season, or uniform docking arrangement for all complexes.",,hydrology;Giza Inlet;Ahramat Branch;causeways;valley temples,needs_review,manual_seed,,,
EVID-KHENTKAWES-BASIN-FABRIC,SRC-AERA-GIZA-BASIN-2014,Khentkawes basin,excavated basin construction,"Excavation east of Khentkawes Town exposed a quarried basin whose banks were reinforced with crushed limestone debris and mudbrick, with stepped terraces and right-angle corners at the north end.",excavated constructed basin with reinforced banks,,,"Annual Report 2013–2014, pp. 12–13, ""Giza's Back Bay: Marina Del Rey""",,mixed,B,0.84,-2550,-2400,"The excavated northern basin lies at Khentkawes Town, not at each pyramid valley temple; its original full extent and first-use date are not completely exposed.",,hydrology;basin;Khentkawes;excavation;waterfront,needs_review,manual_seed,,,
EVID-KHENTKAWES-BASIN-WATER,SRC-AERA-GIZA-BASIN-2014,Khentkawes basin,standing-water function,"Basin silts, aquatic snail shells associated with deep quiet water, and the built basin form support standing Nile water and flood-season boat access at the lower plateau.",standing-water basin connected to flood-season waterways,,,"Annual Report 2013–2014, pp. 12–13, ""Signs of Standing Water""",,mixed,B,0.78,-2550,-2400,"Aquatic remains support standing water but do not fix the water level at 2500 BCE; boat access and Nile connection are functional interpretations, not direct observation of an intact channel.",,hydrology;standing water;inundation;boats;Khentkawes,needs_review,manual_seed,,,
EVID-MENKAURE-BASIN-CONNECTION,SRC-AERA-GIZA-BASIN-2014,Menkaure Valley Temple,connection to waterfront basin,"AERA investigators reconstruct the excavated basin as part of a channel extending toward Menkaure's Valley Temple, providing a plausible flood-season harbor connection.",inferred channel from excavated basin toward Menkaure Valley Temple,,,"Annual Report 2013–2014, p. 12, ""Evidence of Ancient Harbor""",,mixed,C,0.60,-2550,-2450,The report explicitly presents the connecting channel and harbor configuration as a possible reconstruction; the intervening route is not fully excavated and much of it lies beneath a modern cemetery.,,hydrology;Menkaure;valley temple;channel;harbor;inference,needs_review,manual_seed,,,
